hour_of_day,avg_departure_delay,avg_arrival_delay,flight_count
0,150.6991,145.1770,113
1,311.0833,307.4583,24
2,206.0000,204.0000,1
4,-10.0000,-15.0000,1
5,-3.2855,-6.7929,2385
6,-0.0124,-4.1480,5661
7,0.0487,-1.7210,16194
8,2.6098,-0.1220,10747
9,3.7135,1.5634,14312
10,3.5808,2.0156,17288
11,7.1346,5.4116,13463
12,8.0014,5.5154,12000
13,7.7378,7.2064,15943
14,8.7207,6.9460,17231
15,9.8795,8.1067,16128
16,13.8552,12.5992,11659
17,11.7891,9.3587,14199
18,13.6034,10.4559,13361
19,11.6158,8.5780,19316
20,25.4984,19.4591,9613
21,15.1716,12.5337,12071
22,65.0802,59.6919,1558
23,94.6502,90.7855,606
