id,delivery_satisfaction,food_quality_satisfaction,delivery_time_satisfaction,order_accuracy,delivery_satisfaction_level,food_quality_level
1,5,3,4,Yes,High,Medium
2,3,4,3,Yes,Medium,High
3,4,5,2,Yes,High,High
4,5,3,4,Yes,High,Medium
5,2,5,1,Yes,Medium,High
6,5,2,5,Yes,High,Medium
7,1,4,3,Yes,Low,High
8,3,3,2,No,Medium,Medium
9,5,1,3,Yes,High,Low
10,3,5,3,No,Medium,High
11,5,3,4,Yes,High,Medium
12,2,2,5,Yes,Medium,Medium
13,4,5,3,No,High,High
14,3,4,2,Yes,Medium,High
15,1,5,1,Yes,Low,High
16,5,4,5,Yes,High,High
17,2,2,4,Yes,Medium,Medium
18,4,5,4,No,High,High
19,5,1,5,Yes,High,Low
20,2,4,4,Yes,Medium,High
21,5,5,1,Yes,High,High
22,3,3,3,No,Medium,Medium
23,1,5,5,Yes,Low,High
24,5,4,4,Yes,High,High
25,3,3,2,Yes,Medium,Medium
26,2,3,4,Yes,Medium,Medium
27,2,2,3,No,Medium,Medium
28,4,5,4,Yes,High,High
29,4,1,2,Yes,High,Low
30,3,4,5,Yes,Medium,High
31,5,5,4,Yes,High,High
32,3,3,4,No,Medium,Medium
33,1,2,5,Yes,Low,Medium
34,5,5,1,Yes,High,High
35,5,1,2,Yes,High,Low
36,2,3,3,Yes,Medium,Medium
37,1,5,4,Yes,Low,High
38,5,4,3,Yes,High,High
39,2,2,4,No,Medium,Medium
40,3,3,2,Yes,Medium,Medium
41,5,5,5,Yes,High,High
42,3,3,3,Yes,Medium,Medium
43,4,4,4,Yes,High,High
44,5,5,5,Yes,High,High
45,2,2,2,Yes,Medium,Medium
46,5,5,5,Yes,High,High
47,1,1,1,Yes,Low,Low
48,3,3,3,No,Medium,Medium
49,5,5,5,Yes,High,High
50,3,3,3,No,Medium,Medium
51,5,5,5,Yes,High,High
52,2,2,2,Yes,Medium,Medium
53,4,4,4,No,High,High
54,3,3,3,Yes,Medium,Medium
55,1,1,1,Yes,Low,Low
56,5,5,5,Yes,High,High
57,2,2,2,Yes,Medium,Medium
58,4,4,4,No,High,High
59,5,5,5,Yes,High,High
60,2,2,2,Yes,Medium,Medium
61,5,5,5,Yes,High,High
62,3,3,3,No,Medium,Medium
63,1,1,1,Yes,Low,Low
64,5,5,5,Yes,High,High
65,3,3,3,Yes,Medium,Medium
66,2,2,2,Yes,Medium,Medium
67,2,2,2,No,Medium,Medium
68,4,4,4,Yes,High,High
69,4,4,4,Yes,High,High
70,3,3,3,Yes,Medium,Medium
71,5,5,5,Yes,High,High
72,3,3,3,No,Medium,Medium
73,1,1,1,Yes,Low,Low
74,5,5,5,Yes,High,High
75,5,5,5,Yes,High,High
76,2,2,2,Yes,Medium,Medium
77,1,1,1,Yes,Low,Low
78,5,5,5,Yes,High,High
79,2,2,2,No,Medium,Medium
80,3,3,3,Yes,Medium,Medium
81,5,5,5,Yes,High,High
82,3,3,3,Yes,Medium,Medium
83,4,4,4,Yes,High,High
84,5,5,5,Yes,High,High
85,2,2,2,Yes,Medium,Medium
86,5,5,5,Yes,High,High
87,1,1,1,Yes,Low,Low
88,3,3,3,No,Medium,Medium
89,5,5,5,Yes,High,High
90,3,3,3,No,Medium,Medium
91,5,5,5,Yes,High,High
92,2,2,2,Yes,Medium,Medium
93,4,4,4,No,High,High
94,3,3,3,Yes,Medium,Medium
95,1,1,1,Yes,Low,Low
96,5,5,5,Yes,High,High
97,2,2,2,Yes,Medium,Medium
98,4,4,4,No,High,High
99,5,5,5,Yes,High,High
100,2,2,2,Yes,Medium,Medium
101,5,5,5,Yes,High,High
102,3,3,3,No,Medium,Medium
103,1,1,1,Yes,Low,Low
104,5,5,5,Yes,High,High
105,3,3,3,Yes,Medium,Medium
106,2,2,2,Yes,Medium,Medium
107,2,2,2,No,Medium,Medium
108,4,4,4,Yes,High,High
109,4,4,4,Yes,High,High
110,3,3,3,Yes,Medium,Medium
111,5,5,5,Yes,High,High
112,3,3,3,No,Medium,Medium
113,1,1,1,Yes,Low,Low
114,5,5,5,Yes,High,High
115,5,5,5,Yes,High,High
116,2,2,2,Yes,Medium,Medium
117,1,1,1,Yes,Low,Low
118,5,5,5,Yes,High,High
119,2,2,2,No,Medium,Medium
120,3,3,3,Yes,Medium,Medium
121,5,5,5,Yes,High,High
122,3,3,3,Yes,Medium,Medium
123,4,4,4,Yes,High,High
124,5,5,5,Yes,High,High
125,2,2,2,Yes,Medium,Medium
126,5,5,5,Yes,High,High
127,1,1,1,Yes,Low,Low
128,3,3,3,No,Medium,Medium
129,5,5,5,Yes,High,High
130,3,3,3,No,Medium,Medium
131,5,5,5,Yes,High,High
132,2,2,2,Yes,Medium,Medium
133,4,4,4,No,High,High
134,3,3,3,Yes,Medium,Medium
135,1,1,1,Yes,Low,Low
136,5,5,5,Yes,High,High
137,2,2,2,Yes,Medium,Medium
138,4,4,4,No,High,High
139,5,5,5,Yes,High,High
140,2,2,2,Yes,Medium,Medium
141,5,5,5,Yes,High,High
142,3,3,3,No,Medium,Medium
143,1,1,1,Yes,Low,Low
144,5,5,5,Yes,High,High
145,3,3,3,Yes,Medium,Medium
