hospital,emergency_cases,avg_stay,avg_cost
"LLC Smith",19,17.4,22294.37
"Smith Ltd",14,14.9,29064.86
"Wilson Group",12,13.3,19478.42
"Johnson PLC",12,16.8,25773.08
"Smith PLC",12,15.9,23351.00
"Inc Jones",12,12.1,28883.25
"Ltd Smith",11,16.7,21362.73
"Miller PLC",11,20.2,24806.27
"Johnson LLC",11,14.5,22512.09
"Group Smith",11,16.5,32344.55
"Inc Johnson",11,17.5,22311.00
"Johnson Group",10,15.6,25813.20
"Group Brown",10,13.2,27757.80
"Inc Brown",10,15.1,28517.90
"Moore LLC",10,18.1,21412.20
"Wilson PLC",10,15.0,19434.00
"LLC Garcia",10,13.4,29544.90
"Smith Group",10,15.8,18530.00
"Johnson Inc",10,15.0,29627.70
"Davis PLC",10,18.0,24484.80
"LLC Johnson",9,18.3,31960.22
"Smith LLC",9,15.4,16876.78
"Jones Ltd",8,18.3,21562.38
"Smith Inc",8,17.0,16565.50
"PLC Smith",8,11.5,23001.75
"Ltd Brown",8,14.6,32140.00
"PLC Williams",8,18.8,30189.50
"Brown Inc",8,11.9,30650.00
"Inc Harris",8,14.4,27511.88
"LLC Moore",8,25.0,21824.25
"Davis Ltd",8,10.9,19206.63
"Group Garcia",8,17.5,27431.00
"PLC Rodriguez",8,14.8,25003.38
"and Sons Williams",8,17.4,24350.13
"PLC Davis",7,19.1,17183.57
"Davis Group",7,19.3,29177.57
"Inc Miller",7,11.6,28112.57
"Inc Williams",7,15.3,36267.29
"Jones LLC",7,16.6,32113.86
"Davis Inc",7,13.6,30781.00
"Martin Inc",7,16.4,25501.29
"Robinson Inc",7,10.6,21852.29
"Jones Group",7,18.3,27532.00
"Inc Rodriguez",7,13.6,19000.86
"Brown Ltd",7,19.0,24951.29
"Sanchez Inc",7,13.3,28949.43
"Ltd Adams",7,22.3,15672.00
"Hernandez Ltd",7,22.4,24853.57
"Johnson Ltd",7,17.4,33873.57
"Phillips Inc",6,18.3,33246.50
"White Inc",6,16.7,26404.83
"LLC Rodriguez",6,15.2,20155.17
"Group Williams",6,14.0,28294.33
"Inc Morales",6,22.5,21715.50
"PLC Green",6,10.0,28885.33
"Miller Ltd",6,12.7,28281.50
"PLC Jones",6,15.5,10378.17
"LLC Taylor",6,16.0,25262.33
"Group Reed",6,18.0,27693.67
"Hill Inc",6,24.7,22877.83
"Ltd Williams",6,16.3,11069.50
"Green LLC",6,13.3,24388.67
"Morales Group",6,15.5,19384.17
"LLC Hernandez",6,16.7,25009.67
"Roberts Ltd",6,21.5,18345.67
"PLC Johnson",6,26.5,32853.17
"Ltd Taylor",6,20.2,33816.67
"Williams LLC",6,8.8,22235.17
"Inc Gonzalez",6,11.0,16471.67
"LLC Wilson",6,16.5,26625.17
"Inc Jackson",6,12.7,39116.50
"LLC Williams",6,17.8,27915.67
"Miller Inc",6,17.3,34052.00
"Garcia Inc",6,19.3,26378.83
"PLC Anderson",6,16.0,18400.50
"LLC Brown",6,15.8,27255.50
"Inc Garcia",6,19.3,24581.50
"PLC Brown",6,12.3,28069.50
"Lee PLC",6,11.5,24508.17
"Jones Inc",6,17.0,34176.67
"Allen Group",6,16.5,22424.83
"Ltd Johnson",6,14.7,18279.00
"Clark PLC",6,13.7,25753.17
"Clark LLC",6,11.7,23760.50
