1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12-07-23,21:52:10,0.000,0,0,0,0,0.0,0.0,0.00,0.0,0,0,0,0,0,0.0,8,0,0.0,0.0,0.00,0
13-07-23,2:17:22,4.000,0,-2,7,-20,1.5,-9.2,0.11,37.2,0,20,34,34,21,0.0,356,0,0.0,0.0,-0.05,654
13-07-23,18:42:49,6.520,0,0,0,0,0.0,0.0,0.00,0.0,0,0,0,0,0,0.0,27,0,0.0,0.0,0.00,0
13-07-23,23:32:56,9.500,9,-21,3,19,1.1,0.2,0.47,39.7,0,28,54,46,21,0.0,778,0,130.4,8.2,-0.13,1037
13-07-23,23:57:56,12.546,4,-14,1,14,0.8,1.0,0.42,40.3,0,24,40,36,20,0.0,768,0,146.0,8.0,0.01,1324
14-07-23,1:48:37,4.115,0,0,0,0,0.0,0.0,0.00,0.0,0,0,0,0,0,0.0,8,0,0.0,0.0,0.00,0
14-07-23,2:33:50,12.559,5,-17,1,22,0.5,2.1,0.40,36.8,0,24,44,40,20,7.3,1106,0,138.8,8.0,-0.02,1202
14-07-23,2:38:03,13.759,6,-17,2,17,0.5,2.3,0.40,37.2,0,24,40,36,20,70.3,861,0,132.6,8.2,-0.07,1242
14-07-23,2:56:42,14.771,7,-13,3,20,1.3,2.1,0.35,37.8,0,26,42,36,20,61.5,884,0,151.7,8.1,-0.13,1157
14-07-23,3:12:37,15.782,6,-13,2,20,1.2,2.1,0.35,38.3,0,26,42,36,20,52.7,890,0,151.6,8.2,-0.02,1100
14-07-23,3:21:30,15.053,5,-12,2,20,1.4,2.0,0.33,38.7,0,26,42,36,20,67.4,950,0,157.1,8.2,0.00,1213
15-07-23,8:29:08,16.136,9,-11,6,22,1.6,2.1,0.42,33.7,0,26,42,36,20,60.1,940,0,154.3,8.1,-0.01,966
15-07-23,8:49:15,17.147,9,-10,7,20,1.7,1.3,0.48,36.0,0,26,42,36,20,64.5,824,0,131.0,8.3,0.00,986
15-07-23,9:11:25,18.158,13,-9,11,19,2.3,0.8,0.45,38.4,0,28,44,36,20,61.5,914,0,135.9,8.2,0.01,1023
15-07-23,14:26:13,19.241,11,-7,7,22,2.5,1.1,0.44,39.5,0,30,46,36,20,55.7,791,0,133.2,8.2,0.01,1108
15-07-23,14:48:17,20.252,8,-7,3,16,2.4,-0.3,0.49,41.3,0,30,46,36,20,67.4,688,0,120.2,8.1,0.02,1062
15-07-23,15:08:01,21.266,8,-7,3,19,2.3,0.4,0.54,43.0,0,30,46,36,20,57.1,827,0,152.3,8.1,0.01,1228
15-07-23,18:34:36,22.310,11,-4,7,12,2.8,-2.2,0.48,39.2,0,30,47,36,20,57.1,997,0,176.1,7.9,-0.04,1203
15-07-23,18:59:06,23.321,12,-8,4,9,2.7,-1.9,0.32,39.3,0,33,49,36,20,55.7,841,0,153.6,8.0,0.00,1201
15-07-23,19:23:45,24.334,13,-11,5,7,3.0,-2.4,0.12,39.7,0,33,51,38,20,45.4,1087,0,160.7,8.0,0.01,1418
15-07-23,21:51:56,25.344,14,-10,3,2,3.0,-4.6,0.05,39.0,0,36,56,40,20,70.3,874,0,137.1,8.2,-0.05,1253
15-07-23,22:14:41,26.360,10,-13,-6,2,2.2,-3.8,-0.03,39.1,0,36,56,40,20,64.5,817,0,154.7,8.2,-0.02,1242
15-07-23,22:34:09,27.371,13,-20,-1,8,2.7,-5.0,-0.10,39.3,0,37,69,52,21,93.7,974,0,197.1,7.6,0.01,1458
16-07-23,0:42:48,28.382,-9,-13,-19,0,1.3,-8.3,-0.13,37.2,0,31,62,52,21,71.8,824,0,158.6,8.1,-0.03,1235
16-07-23,1:00:55,29.394,-14,-15,-25,17,0.9,-7.0,-0.06,38.3,0,32,72,62,22,70.3,774,0,140.1,8.2,-0.01,1251
16-07-23,1:20:18,30.409,-11,-14,-19,26,1.0,-5.3,-0.12,39.1,0,29,70,62,22,76.2,851,0,161.0,7.9,0.01,1374
16-07-23,2:59:05,31.425,-12,-1,-19,33,0.9,-5.0,-0.22,39.2,0,29,65,58,22,73.2,947,0,143.0,8.2,-0.08,1317
16-07-23,3:19:01,32.437,-11,5,-16,34,1.2,-4.5,-0.07,39.3,0,29,60,53,22,68.8,930,0,141.8,8.2,0.01,1248
16-07-23,3:39:47,33.450,-11,12,-17,32,0.8,-3.3,-0.23,39.6,0,28,50,44,21,61.5,1047,0,172.0,8.0,0.00,1542
16-07-23,8:24:58,34.504,-13,11,-15,33,0.1,-3.1,-0.41,38.7,0,20,44,41,20,63.0,851,0,155.5,8.0,-0.03,1093
16-07-23,8:43:32,35.518,-9,11,-9,36,0.4,-2.3,-0.45,39.7,0,20,44,41,20,55.7,1033,0,144.2,8.2,0.01,1164
16-07-23,15:52:45,36.621,0,0,0,0,0.0,0.0,0.00,0.0,0,20,44,41,20,41.0,861,0,123.1,8.3,-0.02,966
16-07-23,16:23:25,37.632,0,0,0,0,0.0,0.0,0.00,0.0,0,20,44,41,20,55.7,861,0,145.8,8.2,0.02,1007
16-07-23,16:42:02,38.760,0,0,0,0,0.0,0.0,0.00,0.0,0,20,44,41,20,0.0,661,0,0.0,0.0,0.02,917
16-07-23,21:04:12,39.770,0,13,2,35,1.0,-2.8,-0.40,38.2,0,20,44,41,20,65.9,834,0,133.6,8.2,-0.11,835
16-07-23,21:23:11,40.783,1,9,-2,37,1.3,-1.5,-0.57,38.5,0,24,48,40,20,80.6,877,0,141.2,8.2,-0.03,980
16-07-23,21:36:09,41.795,5,11,3,39,1.7,-1.3,-0.60,38.8,0,24,48,40,20,70.3,1013,0,148.0,8.1,0.00,1097
16-07-23,23:50:38,42.807,8,13,7,38,1.8,-2.3,-0.75,34.5,0,24,48,41,20,65.9,980,0,137.3,8.1,0.01,925
17-07-23,0:09:50,43.818,7,13,0,38,1.7,-1.9,-0.84,37.5,0,27,51,40,20,70.3,874,0,145.7,8.1,-0.06,995
17-07-23,0:23:46,44.832,0,0,0,0,0.0,-1.3,-0.89,38.0,0,27,50,40,20,65.9,1163,0,185.5,7.8,0.01,1256
17-07-23,2:18:54,45.845,17,18,-4,38,1.8,-3.4,-0.46,37.0,0,35,60,40,19,57.1,907,0,138.3,8.4,-0.04,979
17-07-23,2:37:04,46.861,15,14,-7,39,1.5,-2.2,-0.33,38.0,0,36,60,40,19,71.8,811,0,143.4,8.2,-0.02,1002
17-07-23,2:50:45,47.874,0,0,0,0,0.0,-1.4,-0.26,39.2,0,36,60,40,19,67.4,874,0,151.3,8.2,0.00,1044
17-07-23,7:18:51,48.928,8,21,-12,31,0.7,-4.8,0.11,37.7,0,36,56,40,21,55.7,957,0,140.9,8.2,0.05,904
17-07-23,7:41:47,49.942,0,0,0,0,0.0,-4.2,0.25,38.8,0,26,46,40,20,41.0,967,0,148.7,8.2,0.02,996
17-07-23,8:01:39,50.952,3,20,-3,30,0.4,-4.9,0.01,39.8,0,26,46,40,21,51.3,1007,0,153.0,8.0,0.00,1110
17-07-23,9:44:51,51.963,-3,15,-1,34,0.4,-6.4,-0.27,39.1,0,20,50,50,20,60.1,894,0,154.9,8.2,-0.02,1344
17-07-23,10:05:46,52.973,-3,11,-3,34,0.0,-5.6,-0.16,41.0,0,20,50,50,20,39.5,791,0,112.4,8.3,0.01,1322
17-07-23,10:20:54,53.988,-2,8,-4,38,0.1,-4.2,-0.10,42.0,0,20,53,50,20,71.8,980,0,151.5,8.1,0.00,989
17-07-23,15:04:43,55.000,-4,20,-11,28,0.1,-3.6,0.25,43.1,0,24,40,34,20,54.2,1000,0,148.8,8.2,-0.02,997
